name,amount,unit
Zitronat ,100,g
"Mandeln, gehackt ",60,g
Mehl ,125,g
Speisestärke ,50,g
Backpulver ,1,TLgestr
Puderzucker ,,g
"Schokolade, in Stückchen gehackt",,n.B
Ei(er) ,2,
Milch ,150,ml
"Mais (Dose, Abtropfgewicht), süßer",450,g
Maisstärke ,2,ELgestr
"Parmesan, fein gerieben",75,g
Kristallzucker ,30,g
"Butter, geschmolzen und abgekühlt",25,g
Salz und Pfeffer ,,
Butter für die Form ,,
Mehl mit Backpulverzusatz *),250,g
Zucker ,2,TL
Salz ,½,TL
Vollmilch ,140,ml
Margarine ,50,g
"Butter, geschmolzen, ungesalzen, zum Bestreichen",,n.B
Mehl für die Arbeitsfläche ,,
Schweinemett (ca. 1 Pfund),453,g
Mehl ,30,g
Vollmilch ,500,ml
"Salz und Pfeffer, schwarzer, frisch gemahlen",,
Zucker ,400,g
"Wasser, heißes",400,ml
"Zitronensaft, frisch gepresst",250,ml
"Eis, zerstoßenes",,
Zitronenscheibe(n) ,,
Pfefferminzblätter ,,
Bacon ,6,Scheibe/n
"Weißbrot, getoastet",4,Scheibe/n
Mayonnaise ,4,EL
Tomatenscheiben ,8,
Eisbergsalat ,4,Blätter
"Salz und Pfeffer, schwarzer, frisch gemahlen",,
Tabasco ,,
Zwiebel(n) ,2,
Knoblauch ,2,Zehe/n
"Speck, in Streifen geschnitten",100,g
süße Sahne ,200,ml
"Trüffel (Sommertrüffel), gehobelte Lamellen davon",2,ELgehäuft
Salz und Pfeffer ,,etwas
Gnocchi (Kühlregal),400,g
"Rucola, ca. 1 Handvoll",,n.B
"Parmesan, frisch gerieben ",,n.B
"Schinken, Coppa, hauchdünn geschnitten",,n.B
Rote Bete ,2,große
"Äpfel, säuerlich, am besten Boskoop",2,
Lauchzwiebel(n) ,3,
"Petersilie, glatte ",1,Bund
Korianderkörner ,1,TL
"Pfefferkörner, schwarze ",1,TL
Honig ,1,EL
Senf ,1,EL
Verjus oder Zitronensaft,4,EL
Kürbiskernöl ,2,EL
"Walnüsse, gehackt ",3,EL
Salz ,1,Prisen
"Milchreis, ca. 100 g, Lightversion mit wenig Zucker",1,Beutel
"Apfel, etwas süßlich",1,großer
Milch ,500,ml
Vanillejoghurt ,250,g
Zucker ,,
Zimt ,,
Paprikaschote(n) ,4,große
"Ei(er), getrennt",2,
Mais aus der Dose,300,g
Crème fraîche ,3,EL
"Käse, gerieben ",200,g
Salz und Pfeffer ,,
Cayennepfeffer ,,
Fett für die Form ,,
Tomate(n) ,1,gr.Dose/n
Zwiebel(n) ,1,
Knoblauchzehe(n) ,1,
Olivenöl ,2,EL
Majoran ,1,TL
Salz und Pfeffer ,,
"Käse, gerieben, z. B. Mozzarella, Cheddar oder andere Käsesorten",100,g
Ei(er) ,2,m.-große
Öl für das Waffeleisen,,etwas
Salz und Pfeffer ,,n.B
Steinbeißerfilet(s) ,300,g
Bandnudeln oder Penne Rigate,300,g
Kochsahne ,150,ml
Schalotte(n) ,2,
Knoblauchzehe(n) ,2,
Orangensaft ,50,ml
Zitronensaft ,50,ml
Salz und Pfeffer ,,
Minze ,,
Petersilie ,,
Dill ,,
Öl ,,
"Nudeln, größere (z. B. Muschelnudeln)",500,g
"Champignons in Scheiben, n. B. auch Mischpilze, à 340 g",5,Gläser
Mayonnaise 80 %,500,ml
"Naturjoghurt, fettarm",400,g
"Schnittlauch, TK",1,Pkt
"Petersilie, TK",½,Pkt
"Kochschinken, in Scheiben geschnitten",600,g
Schinkenwürfel ,150,g
Zwiebel(n) ,1,große
"Knoblauch, ganz fein gehackt oder durch die Presse gedrückt",4,Zehe/n
Öl ,,etwas
Pfeffer ,,n.B
Salz oder Fondor,,n.B
Pimentpulver ,,n.B
Tabasco ,,n.B
"Zitronensaft, frisch gepresst oder Direktsaft aus der Flasche",,n.B
Wirsing ,1,
Kartoffel(n) ,¾,kg
Gehacktes ,¾,kg
Schmand ,1,Becher
Gemüsezwiebel(n) ,1,
Honig ,3,EL
Rinderbrühe oder Kraftbrühe,1,Liter
Teriyakisauce ,,
Salz und Pfeffer ,,
Mandel(n) ,150,g
"Bockbier, dunkles",150,ml
Wasser ,50,ml
Zucker ,100,g
Spekulatiusgewürz ,3,Msp
Traubensaft ,2,Teil/e
Sojasauce ,1,Teil/e
Sake ,1,Teil/e
Mirin ,1,Teil/e
Wasser ,500,ml
Kombu-Alge ,8,cm
Reisflakes ,20,g
Ei(er) ,4,m.-große
Dashi ,90,ml
Mirin ,10,ml
Sojasauce hell,10,ml
Kartoffel(n) ,800,g
Salz ,,
Milch ,150,ml
Butter ,30,g
Muskat ,,
"Meerrettich, aus dem Glas",80,g
Zwiebel(n) ,3,
Butterschmalz ,1,EL
"Kasseler, gekocht",350,g
"Sauerkraut, ca. 550 g",1,Dose
Debrecziner Würstchen ,4,
Crème fraîche ,200,g
"Pfeffer, schwarzer ",,
"Paprikapulver, rosenscharf ",,
Noriblatt klein gebrochen,1,EL
Orangenabrieb ,2,EL
Sesam schwarz/weiß gemischt,2,EL
Szechuanpfeffer ,2,EL
Chilipulver ,4,EL
Mohn (optional),1,EL
Sesam weiß,3,EL
Dashi ,2,EL
Zucker ,1,EL
Reisessig ,2,EL
Sojasauce ,2,EL
Dashi ,500,ml
Misopaste hell,40,g
Seidentofu ,30,g
Wakame ,1,EL
Frühlingszwiebel(n) geschnitten,1,TL
"Spaghetti, schwarze",500,g
Fenchelknolle(n) ,1,
Knoblauchzehe(n) ,2,
"Garnele(n), roh oder vorgekocht",200,g
Pernod ,2,cl
Olivenöl ,,
"saure Sahne oder Milch, wer es weniger fettig mag",125,ml
"Chilischote(n), wer es scharf mag",1,
Salz und Pfeffer ,,
Weizenmehl Type 1050 ,200,g
Wasser ,175,g
Salz ,6,g
Frischhefe ,3,g
Weizenmehl Type 550 ,420,g
Wasser ,280,g
Salz ,8,g
Frischhefe ,4,g
"Milch fettarm (1,5-1,8%)",200,ml
Wasabipulver ,5,g
Weizenvollkornmehl ,130,g
Wasser ,115,g
Frischhefe ,01,g
Roggenmehl Type 1370 ,130,g
Wasser ,195,g
Frischhefe ,01,g
Weizenmehl Type 1050 ,390,g
Wasser ,140,g
Salz ,13,g
Aceto balsamico ,40,g
Frischhefe ,6,g
Weizenvollkornmehl ,90,g
Weizenmehl Type 550 ,60,g
Wasser ,150,g
Frischhefe ,1½,g
Roggenmehl Type 997 ,60,g
Wasser ,60,g
Salz ,1,g
Anstellgut ,12,g
Weizenmehl Type 550 ,60,g
Wasser ,50,g
Anstellgut ,6,g
Weizenmehl Type 550 ,240,g
Wasser ,150,g
Dinkelmehl Type 630 ,90,g
Salz ,12,g
Olivenöl ,12,g
Wasser ,50,g
Reisessig ,1,Liter
Zucker ,500,g
Salz ,250,g
Sojasauce ,1,TL
Kombu-Alge ,8,cm
Dinkelmehl Type 1050 ,175,g
Wasser ,105,g
Salz ,4,g
Frischhefe ,2,g
Dinkelmehl Type 630 ,55,g
Wasser ,280,g
Altbrot ,35,g
Wasser ,105,g
Salz ,11,g
Dinkelmehl Type 1050 ,470,g
Frischhefe ,5,g
Wasser ,70,g
Thunfisch ,100,g
Chilisauce ,2,TL
Sesam schwarz,1,TL
Sesam weiß,1,TL
Ingwer eingelegt,1,TL
Frühlingszwiebel(n) gehackt,1,EL
Butter ,150,g
Zucker ,200,g
Ei(er) ,2,
Vanillezucker ,2,Pck
Backpulver ,½,Pck
Mehl ,2,EL
Kokosraspel ,125,g
"Haferflocken, zarte ",250,g
Fruchtsaft (Hohes C Waldfrucht),½,Liter
"Waldbeeren, TK",750,g
Quark ,500,g
Zucker ,80,g
Schmand ,3,Becher
Vanillezucker ,3,Pck
Zitronensaft ,,etwas
Zartbitterschokolade mind. 70%,300,g
"Milch 3,5%",300,ml
Schlagsahne ,300,ml
Zucker ,40,g
Eigelb ,6,
Hühnerbrüste ,4,m.-große
"Pesto, rotes ",1,Glas
Mozzarella ,1½,Kugel/n
Basilikumblätter ,16,
Paprikapulver ,,
"Salz und Pfeffer, schwarzer, frisch gemahlen",,
Olivenöl ,,etwas
Minutensteak(s) vom Schwein,4,
Schinken (Nussschinken),4,Scheibe/n
Salbeiblätter ,4,
Öl zum Braten ,2,EL
"Butter, kalte in Stücken",1½,EL
"Weißwein, trockener ",100,ml
Salz und Pfeffer aus der Mühle,,
Zucker ,1,Prisen
Karotte(n) ,250,g
Spargel ,250,g
Zuckerschote(n) ,250,g
"Gänsebrust (doppelt mit Brustbein, ca. 1,2 - 1,5 kg)",1,große
"Backpflaume(n), klein gewürfelt",75,g
"Ingwerwurzel, klein gewürfelt",10,g
"Apfel, säuerlich (Boskoop), klein gewürfelt",75,g
"Schalotte(n), klein gewürfelt",100,g
"Knoblauch, klein gewürfelt",1,Zehe/n
"Sojasauce, dunkel, natürlich gebraut",80,ml
Geflügelbrühe ,300,ml
"Pfeffer, weißer, fein gemahlen",1,TLgestr
"Rosmarin, getrocknet, gehackt",1,TLgestr
Salz ,,n.B
"Schalotte(n), klein gewürfelt",75,g
"Karotte(n), klein gewürfelt",50,g
"Petersilienwurzel(n), klein gewürfelt",50,g
"Knollensellerie, klein gewürfelt",50,g
"Paprikapulver, edelsüß ",1,ELgestr
Salz und Pfeffer ,,n.B
Jasminreis ,90,g
Fenchelknolle(n) ,1,kleine
"Paprikaschote(n), gelb oder orange",1,kleine
"Apfel, rotbackig",1,kleiner
Gemüsebrühe ,125,ml
Ingwer (1 cm),1,Stücke
Pfeffer aus der Mühle,,
Kräutermischung nach Wahl,,
Öl zum Braten ,,
Salz bei Bedarf,,
Spargel ,750,g
Salz und Pfeffer aus der Mühle,,n.B
Zucker ,1,Prisen
Tomate(n) ,1,
Petersilie ,2,Stiele
Schalotte(n) ,1,
Frischkäse ,100,g
"Bio-Zitrone(n), abgeriebene Schale, Saft sowie Scheiben davon",1,
"Grünkohl, ca.",100,g
"Haselnüsse, ganze",100,g
"Zitrone(n), unbehandelt",1,
Avocado(s) ,1,
Knoblauch ,2,Zehe/n
Olivenöl ,100,ml
"Salz und Pfeffer, schwarzer, frisch gemahlen",,
Spaghetti ,500,g
"Hartkäse, italienischer, frisch gerieben oder gehobelt",,n.B
"Butter, weiche ",125,g
Puderzucker ,75,g
Ei(er) ,1,
Salz ,1,Prisen
Mehl ,250,g
Backpulver ,1,TL
Mohnback oder gemahlener Graumohn,100,g
Orangenschalenaroma (Finesse),1,Pck
Orangensaft ,13,EL
Orangenlikör ,3,EL
"Mandeln, gemahlen ",100,g
"Walnüsse, gemahlen ",100,g
Zucker ,100,g
Puderzucker ,150,g
Butter ,150,g
"Ei(er), getrennt",4,
Zucker ,300,g
Mehl ,350,g
Backpulver ,1,Pck
Backkakao ,100,g
Lebkuchengewürz (1 Pck.),35,g
Milch ,125,ml
Fett für die Form ,,
Milch ,500,ml
Puddingpulver ,1,Pck
Zucker ,,etwas
Butter ,125,g
"Aprikosenmarmelade, alternativ Quitten-, Preiselbeer- oder Johannisbeermarmelade",,
"Schokolade, 70% Kakaoanteil",130,g
süße Sahne ,75,ml
Quark ,500,g
"Schlagsahne, frische, ca. 200 ml",1,Becher
Sahnesteif ,1,Beutel
Vanillezucker ,2,Pck
Lebkuchen ,6,
"Kinderschokolade (Kinder Schoko-Bons White), alternativ weiße Schokolade",15,Kugeln
Apfelmus oder Pflaumenmus,8,EL
Kakaopulver ,,n.B
Puderzucker ,,n.B
Kartoffel(n) ,600,g
Lachsfilet(s) ,250,g
Butter ,1,EL
Ei(er) ,2,
Sahne ,300,ml
Dill ,1,Bund
Milch ,50,ml
Salz und Pfeffer ,,
Fett für die Form ,,
"Reis, gekocht",500,g
"Erdnüsse, gesalzen",250,g
"Hartkäse, würzig",150,g
Ei(er) ,2,kleine
"Gemüse nach Wahl, in Streifen oder Würfel geschnitten",200,g
Salz und Pfeffer ,,n.B
Muskat ,,n.B
Kurkuma ,,n.B
Seeteufelfilet(s) ,400,g
Fenchel ,2,kleine
Pastis ,5,cl
Zwiebelgranulat ,2,TL
Knoblauchgranulat ,1,TL
Olivenöl ,2,EL
Gemüsebrühe ,50,ml
Salz und Pfeffer ,,n.B
Hähnchenbrust ,800,g
Gemüsemischung (Balkangemüse),600,g
Zwiebel(n) ,1,m.-große
"8 Kräuter, TK ",30,g
"Tomaten, passierte ",500,ml
Feta-Käse vom Schaf,200,g
Sahne ,200,ml
Olivenöl ,3,EL
Maggi ,,n.B
Lachsfilet(s) à. 125 - 140 g,2,
Karotte(n) ,200,g
Fenchel ,1,Knolle/n
Petersilie ,2,Stiel/e
Butter ,40,g
Orange(n) ,1,
Serranoschinken ,4,Scheibe/n
Gemüsebrühe ,100,ml
"Weißwein, trockener ",30,ml
Öl ,1,EL
"Balsamessig, weißer",1,EL
Crème fraîche ,75,g
Salz und Pfeffer aus der Mühle,,
Tomate(n) ,2,
"Paprikaschote(n), rot ",2,
Schalotte(n) ,1,
"Öl, gutes",1,EL
Gemüsebrühe ,150,ml
Crème fraîche ,1,ELgehäuft
Salz und Pfeffer aus der Mühle,,
"Bio-Zitrone(n), Saft und Zesten davon",1,
Papaya ,1,kleine
Banane(n) ,1,
"Joghurt, griechischer ",100,g
Limettensaft ,,etwas
"Heidelbeeren, frische",2,Handvoll
"Pistazien, gehackt ",1,EL
Karambole(n) ,6,Scheibe/n
Olivenöl ,180,ml
"Thymian, getrocknet",1,TL
"Oregano, getrocknet",1,TL
Honig ,½,EL
Zitronensaft ,1,EL
"Wasser, lauwarm ",½,TL
Olivenöl ,250,ml
Knoblauchzehe(n) oder 1/2 Knolle chinesischer Einzehenknoblauch,3,
"Pfefferkörner, grüne aus dem Glas",½,TL
"Basilikum, frisches, klein geschnitten",1,ELgehäuft
Goldleinsamen oder brauner Leinsamen,1,Tüte/n
Sonnenblumenkerne ,1,Tüte/n
"Knoblauchzehe(n), gehackt",5,
"Zwiebel(n), gehackt",2,m.-große
Gemüsebrühepulver ,2,EL
Dattel(n) (Rohkostqualität),400,g
Sesam heller,2,Tüte/n
"Trockenaprikosen, ungeschwefelt",200,g
Goldleinsamen oder brauner Leinsamen,1,Tüte/n
Salatgurke(n) ,1,
"Paprikaschote(n), rot ",1,
Karotte(n) ,2,m.-große
Zwiebel(n) ,1,m.-große
Knoblauchzehe(n) ,2,
"Tomate(n), getrocknete ",2,Handvoll
Gemüsebrühepulver ,2,EL
Buchweizenmehl ,200,g
Gemüsebrühe oder Wasser,,
"Salz, bei Verwendung von Wasser",,
Kokosöl zum Ausbacken,,
Kokosöl ,2,EL
"Zwiebel(n), gehackt",1,große
"Kürbis(se), frisch, gehobelt",300,g
"Paprikaschote(n), rot, grob geraspelt",1,
Gemüsebrühe ,150,ml
Pfeffer aus der Mühle,,
"Petersilie, fische, gehackt",1,Handvoll
"Haferflocken, kernige ",1,Pck
Haselnüsse ,1,Beutel
Mandel(n) ,1,Beutel
Sonnenblumenkerne ,1,Beutel
Kokoschips ,1,Beutel
Honig ,1,Glas
Olivenöl ,2,EL
Zimt ,2,TL
Salz ,1,Prisen
Kürbiskerne ,½,Beutel
"Heidelbeeren, frisch",250,g
"Himbeeren, frisch",250,g
"Minze, frisch",4,Stiele
"Zitrone(n), unbehandelt",1,
Limette(n) ,1,
Sekt ,1,Flasche
"Weißwein, trockener ",1,Flasche
"Gin, guter",200,ml
Holunderblütensirup ,4,cl
Rinderfilet(s) ,800,g
"Schalotte(n), a. 250 g",1,Beutel
"Zwiebel(n), kleine bunte,  ca. 250 g",1,Beutel
Dijonsenf oder mittelscharfer Senf,2,EL
"Honig, milder Blüten- oder Akazienhonig",1,TL
"Oliven, schwarze entsteinte",50,g
Tomate(n) ,500,g
Rapsöl ,1,EL
Basilikum ,½,Bund
Schlagsahne ,200,g
Salz ,,
Zitronenpfeffer ,,
Skreifilet(s) mit Haut,600,g
Zwiebel(n) ,1,m.-große
Schmand ,200,ml
"Brühe, instant",150,ml
Löwensenf ,2,ELgehäuft
Cashewkerne ,50,g
Rohrohrzucker ,1,Prisen
Fischsauce ,1,EL
Olivenöl ,,n.B
Bouillon ,800,ml
Haferflocken ,60,g
Butter ,30,g
Milch oder Sahne,1,EL
Salz und Pfeffer ,,
Zucker ,1,Prisen
Petersilie ,,etwas
"Shiitake-Pilz(e), getrocknet",100,g
Wasser ,2,Liter
Knoblauch ,½,Knolle/n
Langpfeffer ,2,TLgehäuft
"Chilischote(n), getrocknet",6,
Lorbeerblätter ,2,
"Salz, unjodiert",,n.B
Sauerkrautsaft als Starter,1,EL
"Rettich(e), rot und weiß",500,g
Ingwer ,7,cm
Knoblauch ,½,Knolle/n
"Chilischote(n), rot",2,
Frühlingszwiebel(n) ,1,Bund
Äpfel ,2,
Sauerkrautsaft als Starter,1,EL
Banane(n) ,2,kleine
Magerquark ,2,EL
Bourbon-Vanillezucker ,½,Pck
"Vollmilch 3,5%",600,ml
Leinöl ,1,TL
Anstellgut ,50,g
Roggenvollkornmehl ,100,g
Wasser ,100,g
Emmervollkornmehl ,400,g
Dinkelvollkornmehl ,300,g
Weizenvollkornmehl ,200,g
Haferflocken ,50,g
Salz ,18,g
Hefe ,14,g
Öl ,3,EL
Kefir ,800,g
"Joghurt, griechischer ",200,g
"Erdbeersirup, nach Wunsch auch mehr",2,EL
"Melone(n), ausgestochen",10,Kugel/n
Erdbeeren ,8,m.-große
Erdbeersirup ,2,EL
Limettensaft ,1,Spritzer
"Pistazien, gehackt",2,EL
"Pflanzenöl, neutral schmeckend",,
Zwiebel(n) ,1,kleine
Mehl ,1,ELgestr
Gemüsebrühe ,300,ml
Schmelzkäse ,2,Ecken
Sellerie ,1,Knolle/n
Knoblauchzehe(n) ,1,halbe
Sahne ,1,Schuss
Meerrettich ,½,TL
Pfeffer ,,
"Muskatnuss, geriebene ",,
Zwiebel(n) ,1,
"Kräuter, TK",1,Pck
Butter ,40,g
Mehl ,40,g
Gemüsebrühe ,800,ml
Sahne ,125,ml
Salz und Pfeffer aus der Mühle,,
Muskat ,,
Toastbrot ,3,Scheibe/n
Öl ,2,EL
Kartoffel(n) ,3,
Salz ,,
Ei(er) ,2,
Senf ,1,EL
Crème fraîche ,1,EL
Kresse ,1,Beet/e
Kartoffel(n) ,1,
Gemüsebrühe ,1,Tasse/n
Salz und Pfeffer aus der Mühle,,
Muskat ,,
Brokkoli ,200,g
Crème fraîche ,2,EL
Zitronensaft ,1,EL
Leberknödel ,,einige
Zwiebel(n) ,1,m.-große
Butterschmalz oder Öl zum Braten,,
Ei(er) ,3,
Milch oder Sahne,100,ml
"Petersilie, geschnitten",1,kl.Bund
Salz und Pfeffer ,,
Kartoffel(n) ,500,g
Möhre(n) ,500,g
Lauch ,300,g
Tomate(n) ,300,g
Zwiebel(n) ,2,
"Emmentaler, gerieben",100,g
Ei(er) ,4,
Sahne ,125,ml
Petersilie ,1,Bund
"Emmentaler, gerieben, zum Bestreuen",100,g
Salz und Pfeffer ,,
Muskatpulver ,,
"Hackfleisch, gemischt ",750,g
Schalotte(n) ,150,g
Knoblauchzehe(n) ,2,
"Parmesan, gerieben ",85,g
Dijonsenf ,2,ELgehäuft
Mineralwasser ,150,ml
"Paprikapulver, edelsüß ",1,ELgehäuft
Natron ,1,ELgestr
"Salz und Pfeffer, weißer, fein gemahlen",1,TLgestr
Pimentpulver ,1,TLgestr
Backpflaume(n) ,100,g
"Tomate(n), getrocknete ",30,g
"Höhlenkäse,  fein-würziger",200,g
"Backpflaume(n), klein gewürfelt",100,g
"Tomate(n), getrocknete, klein gewürfelt",25,g
"Schalotte(n), geputzt, klein gewürfelt",100,g
"Karotte(n), geputzt, klein gewürfelt",50,g
"Äpfel (saurer Boskop), klein gewürfelt",50,g
"Zitrone(n), Saft davon, unbehandelt",1,kleine
"Sojasauce, dunkel, natürlich gebraut",50,ml
"Gemüsebrühe oder Gemüsefond, ungesalzen",500,ml
"Salz und Pfeffer, weißer, fein gemahlen",,n.B
Butterschmalz zum Anbraten,,etwas
"Bacon, dünne Scheibchen, für die Form",200,g
Räucherlachs ,100,g
Frischkäse ,175,g
Sahne ,50,ml
Sahnemeerrettich (Glas),2,TL
"Dill, fein gehackt",1,EL
Salz und Pfeffer aus der Mühle,,
"Kartoffeln, vorwiegend festkochend ",800,g
Zwiebel(n) ,2,große
Meersalz aus der Mühle,4,Prisen
"Pfeffer, bunter aus der Mühle",4,Prisen
"Paprikapulver, edelsüß ",2,TL
"Majoran, gerebelt",2,TL
Kümmel ,2,EL
Sonnenblumenöl ,4,EL
Butter ,20,g
Ei(er) ,8,m.-große
"Camembert(s), weicher",200,g
Butter ,80,
Schnittlauchröllchen ,2,EL
Radieschen ,½,Bund
Kresse ,1,Beet/e
Salz und Pfeffer aus der Mühle,,
Paprika ,,
"Zitronensaft, optional",1,TL
Joghurt ,150,g
"Essig, milder",3,EL
"Öl, gute Qualität",3,EL
Senf ,1,TL
Salz und Pfeffer aus der Mühle,,
Zucker ,,
Zitronensaft ,3,EL
"Öl, gute Qualitäät",3,EL
Vollmilchjoghurt ,150,g
Schnittlauchröllchen ,2,EL
Senf ,1,TL
Salz und Pfeffer aus der Mühle,,
Zucker ,,
Süßkartoffel(n) ,200,g
Karotte(n) ,150,g
Lauch ,½,Stange/n
Champignons ,200,g
Rapsöl ,2,EL
Gemüsebrühe ,450,g
Salz und Pfeffer aus der Mühle,,
"Zwiebel(n), fein gewürfelt",1,kleine
"Knoblauch, fein gewürfelt",1,Zehe/n
"Lauch, in Ringe geschnitten",½,Stange/n
Karotte(n) ,3,
Kartoffel(n) ,500,g
Butter ,20,g
"Linsen, rote ",75,g
"Petersilie, geschnitten",,etwas
Gemüsebrühe ,400,ml
Salz und Pfeffer aus der Mühle,,
Birne(n) ,2,
Maracuja(s) ,1,
Orangensaft ,100,ml
Agavendicksaft ,,etwas
Spekulatius ,300,g
Mascarpone ,250,g
Sahnequark ,250,g
"Glühwein, kalter",½,Tasse
Likör (Weihnachtslikör) oder Grand Marnier,50,ml
Zimtpulver (Ceylon),½,TL
Kakaopulver ,,EL
Weihnachtsplätzchen (Zimtsterne),4,
Zwiebel(n) ,1,
Knoblauch ,1,Zehe/n
Porree ,2,Stange/n
"Petersilie, glatte ",3,Stiele
Hähnchenbrustfilet(s) à ca. 130 g,4,
"Nudeln (z. B. Penne, Fusilli oder Rigatoni)",250,g
Olivenöl ,4,EL
Gemüsebrühe oder Hühnerbrühe,150,ml
Schlagsahne (200 g) oder 200 ml Cremefine zum Kochen,1,Becher
"Salz und Pfeffer, schwarzer, frisch gemahlen",,
"Käse, frisch gerieben (z. B. Gouda oder italienischer Hartkäse) oder zerbröselter Feta",,n.B
Fischfilet(s) nach Wahl,400,g
"Fenchel, in dünne Streifen geschnitten",200,g
"Zwiebel(n), in dünne Streifen geschnitten",50,g
"Tomaten, stückige (Pelati)",100,g
Sahne ,4,EL
"Dill, frisch geschnitten",2,TL
Salz und Pfeffer ,,
Paniermehl ,30,g
Butter ,50,g
"Kräuter der Provence, getrocknet",1,TL
"Ingwer, frisch gerieben",60,g
Zucker ,60,g
Bio-Zitrone(n) ,1,
Bio-Orange(n) ,3,
"Ei(er), hart gekocht",15,
"Remoulade, aus der Tube",200,g
"Lachsforellenfilet(s), geräuchert",150,g
Kaviar . schwarz,50,g
"Kaviar, rot",50,g
Cornichons ,3,
Kapern ,50,g
"Sardellenfilet(s), in Salzlake",8,
Mehl ,200,g
Salz ,4,g
Backpulver ,4,g
Butter ,170,g
"Zucker, braun ",200,g
"Zucker, weißer",30,g
Ei(er) ,1,
Eigelb ,2,
Vanilleextrakt ,2,TL
Vollmilchschokolade ,170,g
Tafelspitz ,500,g
Markknochen ,5,
Zwiebel(n) ,1,
Butterschmalz ,1,TL
"Suppengrün, frisches",1,Bund
Tomate(n) ,1,
Knoblauchzehe(n) ,1,
Lorbeerblätter ,2,
"Paprikapulver, edelsüß ",1,TL
Zimtpulver ,½,TL
Wacholderbeere(n) ,6,
Pimentkörner ,4,
"Pfefferkörner, schwarze ",½,TL
Salz ,2,TL
Eiweiß ,1,
"Erbsen, aus der Dose",100,g
"Sonnenblumenkerne, geschält",30,g
Cashewkerne ,30,g
"Petersilie, ca. 1/2 Bund inclusive der Stängel",35,g
Schnittlauchröllchen ,1,EL
Ingwerwurzel ,5,g
Zitronensaft ,1,TL
"Sesamöl, geröstet",2,EL
"Rapsöl, kalt gepresst",2,EL
Salz ,,etwas
"Walnüsse, gemahlen ",300,g
Zucker ,200,g
Mehl ,250,g
Backpulver ,3,TL
Vanillezucker ,1,Pck
Orangenabrieb ,2,Pck
Zitronenabrieb ,2,Pck
Ei(er) ,4,
Margarine ,250,g
Puderzucker ,250,g
"Cointreau, ca. 5 cl",1,Fläschchen
Walnusshälften zum Verzieren,250,g
Zucker ,170,g
Butter ,300,g
Mehl ,300,g
Ei(er) ,1,
Vanillezucker ,½,Pck
Aprikosenmarmelade ,30,g
"Mandel(n), gehobelt",200,g
"Butter, weiche ",50,g
Zucker ,80,g
Ei(er) ,1,
Dinkelmehl Type 630 ,115,g
"Haselnüsse, gemahlen ",60,g
Salz ,1,Prisen
Zimtpulver ,½,TL
"Zucchini, gerieben",150,g
Vanilleextrakt ,½,TL
"Haselnüsse, gehackt und/oder Schokotropfen, evtl.",50,g
Schokoguss oder Zuckerguss,,evtl
"Pistazien, gehackt ",,evtl
"Haferflocken, zarte ",150,g
Salz ,1,Prisen
Rapsöl ,40,g
Ahornsirup oder Agavendicksaft,30,g
Kokoschips ,2,EL
"Nüsse, gehackt",50,g
Vanilleextrakt ,½,TL
Zimtpulver ,½,TL
Suppenfleisch vom Rind,1,kg
Suppengrün ,1,Bund
Zwiebel(n) ,3,große
