name,amount,unit
Knoblauch,2,Zehe(n)
Basilikum,15,g
Rapsöl,2,EL
passierte Tomaten,500,ml
Salz,,
Pfeffer,,
Paprikapulver edelsüß,,
Gratinkäse,150,g
Lasagne-Platten,9,
REWE Bio Joghurt aus dem Glas,500,g
REWE Bio Früchtemix,120,g
Haferflocken,120,g
Apfel,1,
Cashewkerne,60,g
REWE Bio Beeren Müsli,8,EL
Kürbiskerne,50,g
Weißkohl (ca. 600 g),"0,50",
REWE Bio Sonnenblumenöl,4,EL
Drillinge,1,kg
REWE Feine Welt Fleur de Sel,1,TL
REWE Bio Cashewkerne,50,g
Knoblauch,,
REWE Bio Currypulver indisch,1,TL
Schweinefilet,600,g
REWE Bio Gemüsebrühe (glutenfrei),200,ml
Pfeffer,,
Salz,,
REWE Bio Saure Sahne,1,EL
Frühlingszwiebeln,4,
Champignons,200,g
Zucchini,1,
Möhre,1,
Zwiebel,1,
REWE Bio Rapsöl,2,EL
Salz,,
Pfeffer,,
REWE Beste Wahl Kidney-Bohnen,1,Dose(n)
Saft von 1 Limette,,
Kreuzkümmel,,
REWE Beste Wahl Tortilla-Wraps,4,
ja! Gouda gerieben,200,g
glatte Petersilie,2,Bund
Minze,1,Bund
ja! Soft-Datteln,8,
Cocktailtomaten,200,g
REWE Bio Gurke,"0,50",
REWE Bio Zitrone,1,
Olivenöl,4,EL
Salz,,
Pfeffer,,
REWE to go Granatapfelkerne,1,Handvoll
Zwiebel,1,
Knoblauch,1,Zehe(n)
REWE Bio Rapsöl nativ,2,EL
frischer Spinat,300,g
ja! Pinienkerne,1,EL
"REWE Beste Wahl Kalifornische Mandeln, gehackt",2,EL
Hackfleisch vom Rind,500,g
Pfeffer,,
Salz,,
Muskat,1,Msp.
Kreuzkümmel,"0,50",TL
REWE Bio Süßrahmbutter,6,EL
Yufkateig,1,Packung(en)
Zitrone,"0,50",
REWE Bio Joghurt mild,300,g
frische Minze,3,Stiel(e)
REWE Bio Orangen,3,
etwas Butter zum Einfetten,,
"REWE Bio Süßrahmbutter, Zimmertemperatur",200,g
ja! Raffinade Zucker,250,g
Vanillezucker,1,Päckchen
Salz,,
Eier,5,
REWE Bio Weizen-Vollkornmehl,200,g
REWE Beste Wahl Weizenmehl Type 405,250,g
Backpulver,2,TL
REWE Bio Frische Buttermilch,125,ml
Wasser,50,ml
REWE Beste Wahl Weiße Schokoladen-Kuvertüre,200,g
REWE Bio frische Backhefe,1,Würfel
ja! Raffinade Zucker,1,TL
lauwarmes Wasser,400,ml
Weizenmehl,800,g
REWE Feine Welt Olivenöl,4,EL
Salz,"2,50",TL
Ei,1,
schwarzer Sesam,2,EL
REWE Bio Zitrone,1,
Knoblauchzehe,1,
REWE Bio Natives Olivenöl extra,1,EL
REWE Bio Ahornsirup,1,EL
Salz,,
gehäufter EL schwarze Pfefferkörner,1,
REWE Bio Tofu Natur,300,g
Sesamöl,2,EL
Kichererbsen,1,Dose(n)
Schalotte,1,
Staudensellerie,2,Stange(n)
getrocknete Tomaten,50,g
schwarze Oliven,100,g
Feta,100,g
Sambal Oelek,1,TL
Olivenöl,4,EL
Salz,,
Pfeffer,,
Zitrone,1,
Knoblauchzehe,1,
Petersilie,3,Zweig(e)
REWE Beste Wahl weiche Weidebutter,75,g
REWE Bio Frische Bio-Eier,2,
Milch,170,ml
REWE Bio Dinkelmehl Type 630,150,g
Backpulver,"0,50",TL
Salz,,
Pfeffer,,
Schnittlauch,15,g
REWE Beste Wahl Thunfischfilets,2,Dose(n)
REWE Beste Wahl Sonnenmais,1,Dose(n)
REWE Bio Saure Sahne,100,g
REWE Beste Wahl Delikatess-Gewürzgurken,2,
Salatblätter,4,
Fett für das Waffeleisen,,
Reis,400,g
Lauch,2,Stange(n)
Spargel,1,Glas
Rapsöl,2,EL
TK-Erbsen,200,g
Fischfond,300,ml
Sahne,100,g
Salz,,
Pfeffer,,
Seelachsfilet,500,g
Zitronensaft,,
Dill,,
REWE Feine Welt Feta Lesbos,2,Packung(en)
Olivenöl,4,EL
Edel-Nuss-Mischung,100,g
Rosmarin,2,Stiel(e)
flüssiger Honig,4,EL
Granatapfel,1,kleiner
Feldsalat,150,g
rote Zwiebeln,2,
Balsamico-Essig,2,EL
Salz,,
Pfeffer,,
REWE Bio Feta 45%,300,g
REWE Bio Weizenmehl Type 550,5,EL
REWE Beste Wahl aromatische Walnüsse ganze Kerne,100,g
REWE Beste Wahl Kalifornische Mandeln gemahlen,8,EL
Ei,1,
Salz,,
Pfeffer,,
Öl,1,EL
Champignons,300,g
bunte Paprika,250,g
Blumenkohl,1,kleiner
Strauchtomaten,4,
Paprikapulver,1,EL
neutrales Öl,2,EL
Salz,,
Pfeffer,,
Essiggurken,3,
rote Zwiebeln,2,
Knoblauchzehen,2,
Dill,"0,50",Bund
Essig,80,ml
Akazienhonig (z. B. von REWE Bio),2,EL
Olivenöl,100,ml
Walnüsse,150,g
Feta (z. B. von REWE Bio),350,g
Blattspinat,750,g
Zwiebel,1,
Knoblauchzehe,1,
Feta,200,g
Olivenöl,2,EL
Salz,,
Pfeffer,,
Yufka-Teigblätter,4,
Eigelb,1,
kleine Tomaten,8,
Salz,,
Pfeffer,,
Knoblauchzehe,1,
schwarze Oliven,6,
Feta,100,g
Olivenöl,5,EL
mittelgroße Zucchini,2,
Eier,4,
Milch,50,ml
Pfeffer,,
Salz,,
Kirschtomaten,100,g
Zucchini,1,
Aubergine,"0,50",
Knoblauch,1,Zehe(n)
schwarze Oliven,50,g
Öl,4,EL
Basilikum,2,Stange(n)
Feta,100,g
Instant Weizenmehl,150,g
Magerquark,125,g
Eier,2,
Milch,50,ml
Salz,,
braune Champignons,250,g
REWE Bio Tomaten,250,g
REWE Bio Natives Olivenöl,2,EL
Pfeffer,,
Blattsalat,125,g
REWE Bio Feta,150,g
Zitrone,1,
Schnittlauch,"0,50",EL
Dill,"0,50",EL
Naturjoghurt,100,g
Honig,"0,50",EL
Spaghetti,250,g
Melone,200,g
Feta,200,g
Minze,"0,50",Bund
Bio Olivenöl,30,ml
Salz,1,Prise(n)
Pfeffer,1,Prise(n)
Zitrone,"0,50",
grober Bulgur,150,g
Olivenöl,8,EL
Kreuzkümmel,1,TL
Pinienkerne,50,g
Rinderhackfleisch,300,g
Salz,,
Chili Pulver,,
getrocknete Feigen,5,
Zitrone,1,
Honig,1,TL
Petersilie,1,Bund
Feta,100,g
gekochte Rote Bete,4,
Feta,100,g
Walnüsse,50,g
Senf,1,TL
Honig,2,TL
Zitronensaft,1,TL
Olivenöl,3,TL
Meersalz,,Prise(n)
Pfeffer,,Prise(n)
Zimt,,Prise(n)
glatte Petersilie,2,Stiel(e)
REWE Frei von Magerquark laktosefrei,150,g
laktosefreie Vollmilch,"6,50",EL
Öl,6,EL
Zucker,"0,25",TL
Salz,"0,50",TL
REWE Frei von Mehlmischung glutenfrei,300,g
Backpulver,1,Packung(en)
Eigelb (Größe M),1,
Minze,3,Stiel(e)
Knoblauchzehen,2,
REWE Frei von Hirtenkäse laktosefrei,200,g
laktosefreier Frischkäse,100,g
Pfeffer,,
Zitronensaft,2,EL
Kartoffeln,1,kg
Cherrytomaten,250,g
Zwiebel,1,
Sonnenblumenöl,2,EL
gemischtes Hackfleisch,500,g
Tomatenmark,3,EL
Pfeffer,,
Salz,,
Oregano,1,TL
Saure Sahne,200,g
Eier,2,
Cayennepfeffer,"0,50",TL
Feta,150,g
Feta,300,g
Edel-Nuss-Mix,75,g
Honig,3,EL
Feldsalat,100,g
Himbeeren,125,g
Kräuter-Dressing,4,EL
kleine Fenchel,2,
"Paprika, gelb",2,
"Rote Bete, gekocht",300,g
kleine rote Zwiebeln,2,
"schwarze Oliven, entsteint",50,g
Zitronensaft,"1,50",EL
REWE Bio Olivenöl,"1,50",EL
Salz,,
Sesam,2,TL
Feta,100,g
altbackenes Brötchen,"0,50",
Knoblauchzehen,2,
Zwiebel,1,
getrocknete Tomaten,8,
Feta,100,g
Rinderhackfleisch,400,g
Ei,1,
Kreuzkümmel,1,TL
Oregano,1,TL
Rapsöl,2,EL
Salz,,
Pfeffer,,
Aubergine,1,
Salz,"0,50",TL
Zwiebel,1,große
Knoblauchzehe,1,
Olivenöl,2,EL
Kreuzkümmel,1,TL
Chili Flocken,1,TL
gemahlener Koriander,1,Messerspitze
rote Paprika,1,
gelbe Paprika,1,
Cocktailtomaten,200,g
frischer Spinat,400,g
Kichererbsen,300,g
Feta,1,Packung(en)
Pfeffer,1,Prise(n)
Fladenbrot,1,
REWE Bio Dinkel wie Reis,250,g
Salz,,
REWE Bio Hähnchenbrustfilet,320,g
Öl,2,EL
Knoblauchzehen,2,
REWE Bio Junge Erbsen,300,g
REWE Bio Hokkaido-Kürbis TK,300,g
REWE Bio Currypulver,,etwas
Wasser,600,ml
REWE Bio Gemüsebrühe,2,TL
REWE Bio Weizenvollkorn Toast,3,Scheibe(n)
REWE Bio Süßrahmbutter,2,EL
REWE Bio Saure Sahne,300,g
Zitrone (Saft davon),1,
REWE Bio TK Petersilie,10,g
Vanilleschote,1,
REWE Bio fettarme Milch,850,ml
REWE Bio Dinkelgrieß,150,g
REWE Bio Blütenhonig,2,TL
Himbeeren,200,g
Pistazien,30,g
Vanilleschote,1,
REWE Bio Dinkelvollkornmehl,170,g
REWE Bio Dinkelmehl,80,g
Backpulver,2,TL
Honig,2,EL
REWE Bio Haferdrink,300,ml
Öl (plus Öl für das Waffeleisen),2,EL
großer Apfel,1,
reife Banane,1,
Puderzucker zum Bestäuben,,
Heidelbeeren,900,g
Rohrohrzucker,350,g
Zitrone,1,
"Schraubgläser à 300 ml (Twist off), sterilisiert",2,
TK-Gyozateig (rund),24,Blätter
Mungobohnensprossen,30,g
Möhre,1,
Pak Choi,100,g
Knoblauchzehe,1,
Austernpilze,150,g
Öl,3,EL
Salz,,
Hoisinsoße,1,EL
Sojasoße,7,EL
Ingwer (daumengroß),1,Stück
Kichererbsen,1,Dose(n)
Knoblauch,1,Zehe(n)
Avocados,2,
Olivenöl,3,TL
Tahini,1,TL
Limette (Saft),"0,50",
Salz,,
Pfeffer,,
Haselnüsse,200,g
Milch,150,ml
Vanillezucker,1,Päckchen
Zucker,50,g
Salz,,
Butter,50,g
REWE Bio Schweizer Vollmilchschokolade,150,g
"Pistazien (ungesalzen, ohne Schale)",200,g
weiße Schokolade,100,g
Butter,100,g
Puderzucker,4,EL
REWE Bio Cashewkerne,400,g
Vanillemark,"1,50",TL
Kokosöl,2,TL
Ube-Wurzel,250,g
Zucker,200,g
Kokosmilch,100,ml
gesüßte Kondensmilch,400,ml
Kokosöl,1,TL
Salz,,
Medjool Datteln,6,
geschälte Hanfsamen,150,g
Kakaopulver,3,EL
Vanillemark,"0,50",TL
Salz,1,Prise(n)
Kichererbsen,1,Dose(n)
Haselnüsse,40,g
Vanilleschote,"0,50",
Medjool Datteln,5,
Backkakao,30,g
Sojadrink,100,ml
Agavendicksaft,3,EL
Süßlupinen geschrotet,100,g
Tahin (Sesammus),2,EL
Olivenöl,4,EL
Zitronensaft,1,TL
Salz,,
Pfeffer,,
getrocknete Tomaten,50,g
Knoblauch,1,Zehe(n)
Basilikum,3,Stiel(e)
"Rote Bete (vorgekocht, vakuumiert)",1,Knolle(n)
Sahne-Meerrettich,1,TL
Bio-Zitrone,1,
REWE Feine Welt Lachstatar,4,Portionen
Lebkuchengewürz,,
Radieschen,5,
Rucola,1,Handvoll
Radicchio,1,Handvoll
Feldsalat,1,Handvoll
Friséesalat,1,Handvoll
REWE Feine Welt Himbeerfruchtessig,2,EL
REWE Feine Welt Steirisches Kürbiskernöl,4,EL
Salz,,
Pfeffer,,
REWE Feine Welt Fetakäse Lesbos,100,g
frische Himbeeren,2,Päckchen
Zitronen-Dill-Senf-Sauce,,
Schnittlauch (nach Belieben),,
Tortilla-Wraps,4,
Nuss-Nougat-Aufstrich,100,g
gehackte Haselnüsse,4,EL
Erdbeeren,8,
Bananen,2,
Äpfel,4,
Zitronensaft,50,ml
Zucker,3,EL
Zimt,1,TL
Eier,2,
Mehl,100,g
Bier (hell),125,ml
Salz,1,Prise(n)
Speisestärke,4,EL
Frittieröl,"1,50",l
Vanillesoße,250,ml
Milch,100,ml
Hefe,"0,50",Päckchen
Mehl,250,g
Butter,100,g
Bio-Zitrone,"0,50",
Eier,2,
Vanillezucker,1,Päckchen
Salz,1,Prise(n)
Pflaumenmus,4,EL
neutrales Öl,1,EL
Vanilleschote,1,
Vollmilch,500,ml
brauner Zucker,3,EL
Maisstärke,2,EL
Mohn,30,g
Mehl,500,g
Milch,350,ml
Hefe,"0,50",Würfel
weiche Butter,50,g
Zucker,5,EL
Salz,1,TL
Eier,2,
Butterschmalz,50,g
Wasser,250,ml
Vanilleschote,1,
Schlagsahne,100,ml
Eigelbe,3,
weißer Spargel,500,g
REWE Bio Zitrone,1,
Salz,,
Zucker,1,Prise(n)
REWE Beste Wahl Tagliatelle mit Spinat,400,g
Radieschen,1,Bund
Olivenöl,4,EL
frisch gemahlener Pfeffer,,
Knoblauch,1,Zehe(n)
Zwiebeln,2,
Kalbfleisch (Schulter),600,g
Öl,1,EL
Kalbsfond,200,ml
Weißbier,500,ml
Oregano,1,Zweig(e)
Thymian,1,Zweig(e)
Rosmarin,1,Zweig(e)
Sahne,200,ml
Tagliatelle,500,g
kalte Butter,50,g
Salz,,
Pfeffer,,
Rotkohl,"0,50",
Knoblauch,1,Zehe(n)
Zitrone,"0,50",
Olivenöl,9,EL
Parmesan,50,g
Cashewkerne,50,g
Salz,,
Pfeffer,,
Tagliatelle,400,g
rote Zwiebel,1,
Walnüsse,1,Handvoll
Parmesankäse,120,g
Lauchzwiebeln,2,
REWE Beste Wahl Tagliatelle Nudeln,400,g
REWE Beste Wahl Tafelsalz,,
Basilikum,1,Topf
Rosa Beeren,1,EL
Trüffelöl,3,EL
REWE Beste Wahl Milch,200,ml
REWE Beste Wahl Schlagsahne,400,g
REWE Beste Wahl Tagliatelle-Nudeln PRO PLANET,400,g
Salz,,
REWE Beste Wahl Thunfisch-Filets im eigenen Saft PRO PLANET,1,Dose(n)
Kapern,15,g
Saure Sahne,60,g
Zitronensaft,"2,50",EL
Petersilie,1,Bund
Pfeffer,,
Kapernäpfel,12,
g ja! Mehl,250,
REWE Freiland-Ei (Größe M),1,
g ja! Zucker,130,
TL REWE Jodsalz,"0,30",
g ja! Butter,75,
ml ja! frische Vollmilch,750,
EL ja! frische Vollmilch,5,
g frische Hefe,21,
Vanilleschote,1,
EL Speisestärke,"1,50",
Eigelb (Größe M),1,
g ja! Pflaumenmus,100,
TL Puderzucker,1,
Mehl für Hände,,
Fett für Form,,
Zwiebel,1,
Knoblauchzehe,1,
Mangold,400,g
Brötchen (vom Vortag),"0,50",
Butter,2,EL
getrocknete Chiliflocken,1,TL
Salz,,
Mehl,1,TL
Milch,150,ml
Tagliatelle,360,g
Mascarpone,1,EL
Pfeffer,,
Zitronensaft,3,TL
Butter,60,g
Salz,,
Mehl,150,g
Eier,4,
Vanilleschote,1,
Milch,500,ml
frische Eigelbe,6,
Zucker,100,g
Schlagsahne,200,g
Schmand,200,g
Rhabarberkonfitüre,200,g
Puderzucker,,
Champignons,200,g
Kräutersaitlinge,150,g
Shiitake,150,g
